,Lot,CD,ZipCode,ZoneDist1,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,BsmtCode,YearBuilt,BoroCode,CondoNo,BIN,IsBopa,geox,geoy
4696,57,111,10035.0,70,13,2.0,3479,16495,3299,13196,0,3299,0,0,0,0,1,5.0,16,20,35.0,99.92,35.0,100.0,3.0,2.0,1920,1,0,1054198,0,40.80816439253139,-73.9391072378954
4697,7501,111,10035.0,70,121,3.0,3997,20792,0,20792,0,0,0,0,0,0,1,6.0,12,12,40.0,99.92,40.0,64.0,0.0,5.0,2005,1,1525,1087194,0,40.808019142790435,-73.93952639825376
4698,7503,111,10035.0,70,121,3.0,5292,20091,802,19289,0,0,802,0,0,0,1,7.0,13,13,44.92,100.0,45.0,100.0,0.0,5.0,2007,1,1985,1088428,0,40.80831055170727,-73.94042560156385
4699,7504,111,10035.0,70,121,3.0,3747,10070,0,10070,0,0,0,0,0,0,1,6.0,13,13,37.5,99.92,37.0,54.0,0.0,2.0,2009,1,2216,1087968,0,40.8076179109969,-73.93857673209995
4700,10,111,10035.0,70,18,2.0,1665,2850,0,2850,0,0,0,0,0,0,1,3.0,4,4,16.67,99.92,16.67,55.0,0.0,5.0,1900,1,0,1054225,0,40.808768368577816,-73.93936677427304
4701,32,111,10035.0,50,18,2.0,1998,2760,0,2760,0,0,0,0,0,0,1,3.0,4,4,20.0,99.92,20.0,43.0,3.0,5.0,1910,1,0,1054239,0,40.80801536030405,-73.93757936896122
4702,44,111,10037.0,70,9,2.0,1665,3332,0,3332,0,0,0,0,0,0,1,3.0,3,3,16.67,99.92,17.0,50.0,2.0,1.0,1910,1,0,1054242,0,40.8083667297584,-73.93766212290352
4703,45,111,10037.0,70,10,2.0,2498,8947,0,8947,0,0,0,0,0,0,1,5.0,15,15,25.0,99.92,25.0,77.0,3.0,1.0,1910,1,0,1054243,0,40.80839421212447,-73.93772711903549
4704,58,111,10037.0,70,138,4.0,1350,5022,1255,3767,0,1255,0,0,0,0,1,4.0,3,4,18.0,75.0,18.0,68.0,0.0,5.0,1900,1,0,1054246,0,40.808910711908716,-73.93864417376001
4705,60,111,10037.0,70,14,2.0,1807,3264,0,3264,0,0,0,0,0,0,1,3.0,6,6,18.08,99.92,18.0,59.0,2.0,5.0,1900,1,0,1054248,0,40.80889713599301,-73.93892233749206
4706,71,111,10035.0,70,14,2.0,2035,2331,0,2331,0,0,0,0,0,0,1,3.0,8,8,18.5,110.0,19.0,40.0,3.0,1.0,1900,1,0,1054257,0,40.809210490383094,-73.93978901884726
4707,103,111,10035.0,70,5,1.0,2035,2622,0,2622,0,0,0,0,0,0,2,3.0,2,2,18.5,110.0,19.0,46.0,3.0,2.0,1900,1,0,1054261,0,40.809078794611075,-73.93988667179426
4708,7502,111,10035.0,70,119,2.0,2336,7966,0,7966,0,0,0,0,0,0,1,4.0,10,10,32.0,73.0,32.0,50.0,0.0,5.0,1880,1,1668,1054259,0,40.80899926915697,-73.94002401326105
4709,20,111,10037.0,70,13,2.0,3497,15885,0,15885,0,0,0,0,0,0,1,5.0,15,15,35.0,99.92,96.0,35.0,3.0,2.0,1926,1,0,1054277,0,40.80901468095635,-73.93802636438016
4710,22,111,10037.0,70,12,2.0,1873,3440,0,3440,0,0,0,0,0,0,1,3.0,4,4,18.75,99.92,19.0,44.0,3.0,5.0,1926,1,0,1054278,0,40.80897345959551,-73.9379324814639
4711,31,111,10037.0,70,35,10.0,4996,4996,4996,0,0,0,4996,0,0,0,1,1.0,0,1,50.0,99.92,50.0,100.0,3.0,2.0,1926,1,0,1054285,0,40.808654660899464,-73.93717418728149
4712,33,111,10037.0,50,87,6.0,17985,106596,106596,0,0,0,0,106596,0,0,1,6.0,0,59,199.83,90.0,201.0,90.0,3.0,2.0,1896,1,0,1054286,0,40.808687423897965,-73.9368562702473
