,Address,corx,cory
298,5 DEY STREET,40.71048362469885,-74.01011408192828
299,189 BROADWAY,40.7104260093681,-74.00982911891185
300,187 BROADWAY,40.710343660307586,-74.00990124700233
301,183 BROADWAY,40.71028876132387,-74.00994452295211
302,181 BROADWAY,40.710239351222675,-74.0099950136651
303,179 BROADWAY,40.71017896236302,-74.01004189564594
304,177 BROADWAY,40.71011857285129,-74.01009599154072
305,175 BROADWAY,40.71005818394954,-74.01014287334515
306,173 BROADWAY,40.7100087743984,-74.01018614974944
307,51 NASSAU STREET,40.70904818451034,-74.00927344674314
308,22 MAIDEN LANE,40.70911407092864,-74.00912196421345
309,55 NASSAU STREET,40.70906192584048,-74.00905342517366
310,53 NASSAU STREET,40.70902623822408,-74.00912555913429
311,49 NASSAU STREET,40.708952120122504,-74.00924457788781
312,53 LIBERTY STREET,40.70884231850771,-74.00938162601636
313,59 LIBERTY STREET,40.70898776798381,-74.0096593807364
314,150 BROADWAY,40.70917986584513,-74.01007420767336
315,160 BROADWAY,40.709385730926755,-74.00998406479022
316,8 MAIDEN LANE,40.70938576585607,-74.00957287137373
317,10 MAIDEN LANE,40.709341857409065,-74.00947908417398
318,14 MAIDEN LANE,40.70928697012745,-74.00938168859749
319,16 MAIDEN LANE,40.709267765844984,-74.0092698703376
320,8 LIBERTY PLACE,40.70920463104882,-74.0093347866584
321,LIBERTY PLACE,0,0
322,67 LIBERTY STREET,40.70906460761611,-74.00982170428185
323,170 BROADWAY,40.70953121640224,-74.00983259393723
324,63 NASSAU STREET,40.70937759619632,-74.00876130433664
325,25 MAIDEN LANE,40.709273287749156,-74.00885867837799
326,21 MAIDEN LANE,40.70940502939783,-74.00894886990801
327,15 MAIDEN LANE,40.7095340270598,-74.00902824051886
328,9 MAIDEN LANE,40.709657522763436,-74.00926271059052
329,174 BROADWAY,40.70979472252475,-74.00972803032948
330,176 BROADWAY,40.7098304231228,-74.00950440253783
331,12 JOHN STREET,40.70983045548344,-74.00910402732951
332,20 JOHN STREET,40.70970420883535,-74.00894530309598
333,24 JOHN STREET,40.70958345176739,-74.00878297321678
334,65 NASSAU STREET,40.709487394628205,-74.00865671677346
335,180 BROADWAY,40.71001982269587,-74.00937097075997
336,19 LIBERTY STREET,40.70839223223707,-74.00868182289248
337,59 MAIDEN LANE,40.7086585249236,-74.00798211500157
338,56 NASSAU STREET,40.709122354304554,-74.00847992903344
339,44 JOHN STREET,40.70909493064078,-74.00814808668792
340,48 JOHN STREET,40.70903180667922,-74.00806872627695
341,83 MAIDEN LANE,40.707535958024614,-74.00736160070646
342,75 MAIDEN LANE,40.70781317729824,-74.00739048631917
343,84 WILLIAM STREET,40.70797509680427,-74.00771873066944
344,15 GOLD STREET,40.70788730318664,-74.00711637175262
345,13 GOLD STREET,40.707791237131474,-74.00710554087628
346,100 WILLIAM STREET,40.70834567352124,-74.00719937946864
347,80 JOHN STREET,40.708142581951144,-74.00685670274112
348,90 WILLIAM STREET,40.70807666923748,-74.00747347397918
349,217 PEARL STREET,40.70721762757679,-74.00631558122357
350,211 PEARL STREET,40.70708310937933,-74.00675199554206
351,2 GOLD STREET,40.70740972554533,-74.0069323712702
352,4 PLATT STREET,40.70739053704444,-74.00650676075439
353,116 JOHN STREET,40.70746742345443,-74.00589360273503
354,102 JOHN STREET,40.70785716300203,-74.0062146492562
355,104 JOHN STREET,40.70771168975388,-74.00622906317082
356,110 JOHN STREET,40.70759092672624,-74.00610641855404
357,112 JOHN STREET,40.70766778804381,-74.00595493718659
358,90 JOHN STREET,40.70790929777257,-74.00649959763156
359,212 PEARL STREET,40.70691570710136,-74.00625062974788
360,180 WATER STREET,40.70699534147017,-74.00554369844069
361,160 WATER STREET,40.7068031913558,-74.00587911672878
362,125 MAIDEN LANE,40.706597314094545,-74.00625781351089
363,156 FRONT STREET,40.706075844136244,-74.00557247621947
364,175 WATER STREET,40.70636132022616,-74.005128864154
365,161 MAIDEN LANE,40.70549947976686,-74.00476812289124
366,151 MAIDEN LANE,40.705746495607805,-74.00507110864382
367,161 FRONT STREET,40.705897462668865,-74.00495570345377
368,163 FRONT STREET,40.70574376807742,-74.0046635442444
