GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,GI_BA_X_CP,GI_BA_X_STREET,GI_BA_X_ARTERY,GI_BA_S_ZIP_CD1,BIN,Latitude,Longitude
,LENOX,AV,547,,,,10037,1060005,40.81600923,-73.93991293
W,142,ST,59-71,,LENOX,AV,10037,1000000,40.81866444,-73.93677816
,LIBERTY,ST,42835,,WILLIAM,ST,10038,1086256,40.70736298,-74.00819476
W,14,ST,25,,,,10011,1015290,40.73680069,-73.99473528
,8,AV,167,W,18,ST,10011,1013108,40.74264987,-74.00081919
W,22,ST,300,,8,AV,10011,1013310,40.7446206,-73.99938288
,BEEKMAN,ST,15,,NASSAU,ST,10038,1079101,40.71092854,-74.00650711
,NASSAU,ST,71,,JOHN,ST,10038,1001215,40.70975365,-74.00850526
,ARDEN,ST,100-02,,BROADWAY,,10040,1064222,40.86422755,-73.92896182
,BROADWAY,,4425,W,190,ST,10040,1064461,40.85599885,-73.93340611
,BENNETT,AV,153,W,189,ST,10040,1084213,40.85509074,-73.93407938
W,19,ST,300-04,,8,AV,10011,1013110,40.7428173,-74.00070371
W,12,ST,12,,5,AV,10011,1083138,40.73454726,-73.99521897
,6,AV,472-482,W,12,ST,10011,1009563,40.73571935,-73.99769785
W,12,ST,24,,5,AV,10011,1009577,40.73492606,-73.99581793
W,11,ST,63-69,,6,AV,10011,1009567,40.73543938,-73.99729011
W,20,ST,121,,6,AV,10011,1014751,40.74156009,-73.99487203
W,11,ST,62,,6,AV,10011,1009514,40.73486024,-73.9975788
W,11,ST,64,,6,AV,10011,1085657,40.73486024,-73.9975788
W,11,ST,78,,6,AV,10011,1009510,40.73515119,-73.9980551
W,12,ST,66,,5,AV,10011,1083136,40.73543938,-73.99729011
W,14,ST,229-231,,7,AV,10011,1013721,40.73935617,-74.00080111
W,14,ST,239,,7,AV,10011,1013718,40.73947968,-74.00115836
W,14,ST,243,,7,AV,10011,1013716,40.73955104,-74.00132435
W,14,ST,259,,8,AV,10011,1013711,40.73985844,-74.0020533
W,14,ST,2,,5,AV,10011,1009717,40.7359388,-73.99408584
W,18,ST,15,,5,AV,10011,1015447,40.73915558,-73.99281173
