Lat,Lon,GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,Address,Latitude,Longitude
0.000109860000002016,0.000259970000001886,W,95,ST,118,128 WEST 95 STREET,40.79236394,-73.96902455
0.000112549999997213,0.000331970000004844,W,14,ST,21-29,31 WEST 14 STREET,40.73680069,-73.99473528
0.000112670000000037,0.000267260000001102,W,136,ST,221,231 WEST 136 STREET,40.8166097,-73.94413571
0.000115270000001999,0.000194819999990159,,CANAL,ST,365,373 CANAL STREET,40.72129561,-74.00406938
0.000118010000001334,8.66100000109782E-05,,AV A,,119,115 AVENUE A,40.72650131,-73.98356969
0.000118059999998366,0.000277889999992453,W,34,ST,130,124 WEST 34 STREET,40.75016451,-73.98937461
0.000120789999996873,8.29600000002984E-05,,3,AV,523,202 EAST 35 STREET,40.74619663,-73.97745848
0.000123540000004141,0.000223790000006829,,9,AV,659,404 WEST 46 STREET,40.76088563,-73.99119943
0.00012636000000299,0.000303220000006377,E,79,ST,53,67 EAST 79 STREET,40.77633515,-73.96144977
0.0001316300000056,0.000498399999997901,W,86,ST,131-135,124 WEST 87 STREET,40.78722686,-73.97326285
0.000131719999998836,0.000303000000002385,,GREENWICH,ST,125,88 TRINITY PLACE,40.70910275,-74.01276858
0.000131749999994213,9.99999372197635E-09,,MURRAY,ST,18,19 PARK PLACE,40.71341242,-74.00846965
0.000134579999993889,0.000313980000001379,E,58,ST,232,242 EAST 58 STREET,40.76016452,-73.96582327
0.000134649999999681,0.000314149999994129,W,129,ST,1,11 WEST 129 STREET,40.80937021,-73.94080757
0.000137199999997506,0.000379039999998554,,9,AV,659,405 WEST 45 STREET,40.76088563,-73.99119943
0.000137219999999161,9.74900000016987E-05,,3,AV,523,517 3 AVENUE,40.74619663,-73.97745848
0.000137259999995365,0.00047983000000329,,BLEECKER,ST,33,21 BLEECKER STREET,40.72582436,-73.99375842
0.000142719999999485,0.000147949999998787,,CHRISTOPHER,ST,91,341 BLEECKER STREET,40.73360584,-74.00412425
0.000142719999999485,0.000198420000003807,,BROOME,ST,378,181 MOTT STREET,40.72055179,-73.99630585
0.00014550000000213,6.85099999913064E-05,W,127,ST,104,333 LENOX AVENUE,40.80916098,-73.94508479
0.000148230000000638,0.000458289999997419,W,14,ST,259,256 WEST 15 STREET,40.73985844,-74.0020533
0.000150959999999145,0.00015875000001131,,CANAL,ST,365,359 CANAL STREET,40.72129561,-74.00406938
0.000153610000005244,0.000440629999999942,W,86,ST,131-135,126 WEST 87 STREET,40.78722686,-73.97326285
0.000153850000003786,0.000364580000010051,E,88,ST,152,164 EAST 88 STREET,40.78047166,-73.9544424
0.000156439999997815,0.00041130999998984,,BLEECKER,ST,75,88 BLEECKER STREET,40.72673847,-73.99599523
0.00015917999999715,7.94099999978926E-05,,CLINTON,ST,18-20,16 CLINTON STREET,40.72060564,-73.98400766
0.00015922000000046,0.000306810000012092,,9,AV,659,406 WEST 46 STREET,40.76088563,-73.99119943
0.000159259999996664,0.000458129999998391,,B,AV,50-54,53 AVENUE B,40.72324043,-73.98282369
0.000159259999996664,0.000458129999998391,,B,AV,52,53 AVENUE B,40.72324043,-73.98282369
0.000161880000000281,0.0001157199999966,,3,AV,2114,2120 3 AVENUE,40.79777087,-73.94055783
0.000161919999996485,0.000382489999992686,W,12,ST,24,31 WEST 11 STREET,40.73492606,-73.99581793
0.000161929999997312,0.000367970000013429,,WHITE,ST,64-66,54 WHITE STREET,40.71841364,-74.0033405
0.00016193999999814,0.000368080000001214,W,13,ST,227-29,217 WEST 13 STREET,40.73859312,-74.00138929
0.000161990000002277,0.000458170000001701,E,4,ST,99,74 2 AVENUE,40.72605452,-73.98854865
0.000162129999999649,0.00037915000000055,W,129,ST,1,13 WEST 129 STREET,40.80937021,-73.94080757
0.000164610000005894,0.000465630000007877,E,38,ST,20,232 MADISON AVENUE,40.75021017,-73.98152105
0.00016464000000127,0.000364439999998467,,ST MARKS,PL,122,117 EAST 7 STREET,40.7267731,-73.98393041
0.000164729999994506,0.000396850000001336,E,10,ST,214,224 EAST 10 STREET,40.72921346,-73.98604052
0.000167189999999096,0.000491319999994744,E,111,ST,163,158 EAST 112 STREET,40.7954723,-73.94356837
0.000167539999999633,0.000378929999996558,E,58,ST,240,1097 2 AVENUE,40.7600574,-73.96557064
0.000170040000000427,0.000404490000008195,E,79,ST,53,56 EAST 80 STREET,40.77633515,-73.96144977
0.000170040000000427,0.000480209999992098,E,62,ST,137,130 EAST 62 STREET,40.76430119,-73.96698354
0.000172929999997962,0.000497949999996194,W,11,ST,78,461 AVENUE OF THE AMER,40.73515119,-73.9980551
